variant,scope,trades,total_return,max_drawdown,profit_factor,win_rate,folds_positive
baseline,48mo_wf,123,1.3971207841215842,0.04638286174964503,3.350818995578469,0.5853658536585366,16
baseline,last_24mo,79,0.8479882371436065,0.04404371990226575,3.3099978635097127,0.5949367088607594,
baseline,last_12mo,41,0.4965050741409167,0.0440437199022657,4.6698222922777175,0.6829268292682927,
baseline,last_6mo,24,0.19535687857414907,0.044043719902265875,3.269819630543617,0.625,
baseline,last_3mo,13,0.08558531545686221,0.04404371990226575,2.3561898016887515,0.5384615384615384,
A_1d_agree,48mo_wf,104,1.0151065684167255,0.04821420379757015,3.215336969760477,0.5961538461538461,15
A_1d_agree,last_24mo,68,0.6638949558388798,0.03402259524845519,3.26300500405718,0.6176470588235294,
A_1d_agree,last_12mo,38,0.47191842888372015,0.029674627282695033,5.052175112320081,0.7105263157894737,
A_1d_agree,last_6mo,22,0.21332443008175228,0.029674627282695237,4.007996824264115,0.6818181818181818,
A_1d_agree,last_3mo,13,0.10158314979038607,0.029674627282695154,3.056475302458781,0.6153846153846154,
B_1h_agree,48mo_wf,106,0.9456444472890226,0.044043719902265945,2.9878748868710368,0.5660377358490566,15
B_1h_agree,last_24mo,69,0.5945323098457589,0.04404371990226554,3.0075054381118482,0.5797101449275363,
B_1h_agree,last_12mo,34,0.3224676027780722,0.04404371990226564,4.157902647490737,0.6764705882352942,
B_1h_agree,last_6mo,21,0.1367177050216828,0.04404371990226582,2.785900199464737,0.6190476190476191,
B_1h_agree,last_3mo,12,0.09298548779785398,0.04404371990226581,2.639908167410955,0.5833333333333334,
C_size_scale,48mo_wf,123,0.9922377901773349,0.0413826594002759,3.109665488495549,0.5853658536585366,16
C_size_scale,last_24mo,79,0.6456846449579727,0.036872548107008345,3.1703592508958933,0.5949367088607594,
C_size_scale,last_12mo,41,0.3964617514334541,0.03687254810700821,4.621624410187857,0.6829268292682927,
C_size_scale,last_6mo,24,0.17465901900978187,0.03687254810700828,3.3615678828340125,0.625,
C_size_scale,last_3mo,13,0.0974567509994626,0.036872548107008345,2.8446270176131394,0.5384615384615384,
D_1h_early_exit,48mo_wf,124,0.2574737588957585,0.06277222030360181,1.5445691958187362,0.4112903225806452,13
D_1h_early_exit,last_24mo,77,0.1265640127360388,0.04625678327872925,1.441446535847638,0.42857142857142855,
D_1h_early_exit,last_12mo,41,0.12743135314748244,0.04625678327872908,2.144766578678126,0.4878048780487805,
D_1h_early_exit,last_6mo,24,0.06856122441454171,0.04625678327872901,1.9228028554385774,0.4166666666666667,
D_1h_early_exit,last_3mo,13,0.045047000059847964,0.046256783278728966,1.9090254741107098,0.38461538461538464,
