asset,direction,entry_time,exit_time,entry_price,exit_price,gross_return_pct,net_return_pct,base_size,adaptive_multiplier,final_size,exit_reason
BTC/USDT,long,2024-05-13T16:00:00+00:00,2024-05-23T12:00:00+00:00,63204.276345,68136.1014158083,0.07802992702405095,0.038014963512025476,0.5,1.0,0.5,stop
BTC/USDT,long,2024-05-27T16:00:00+00:00,2024-05-29T16:00:00+00:00,69294.640005,67102.45723122025,-0.03163567591406153,-0.016817837957030766,0.5,1.0,0.5,stop
BTC/USDT,long,2024-06-12T16:00:00+00:00,2024-06-14T16:00:00+00:00,67566.68646,66177.4731700504,-0.020560624809861247,-0.011280312404930624,0.5,1.0,0.5,stop
ETH/USDT,long,2024-06-16T20:00:00+00:00,2024-06-17T16:00:00+00:00,3626.2222049999996,3477.224245625338,-0.04108903176678375,-0.021544515883391877,0.5,1.0,0.5,stop
ETH/USDT,long,2024-06-20T08:00:00+00:00,2024-06-23T20:00:00+00:00,3600.73947,3413.185241048299,-0.05208769768385968,-0.02704384884192984,0.5,1.0,0.5,stop
ETH/USDT,short,2024-06-24T04:00:00+00:00,2024-06-27T12:00:00+00:00,3367.5054050000003,3452.3783223133546,-0.02520349846724426,-0.013601749233622128,0.5,1.0,0.5,stop
ETH/USDT,short,2024-07-03T04:00:00+00:00,2024-07-08T08:00:00+00:00,3350.5239,3085.599914964764,0.07906942106434041,0.019267355266085102,0.5,0.5,0.25,stop
BTC/USDT,short,2024-07-03T04:00:00+00:00,2024-07-10T04:00:00+00:00,60839.574995,58426.71373412651,0.03965940362127428,0.018829701810637138,0.5,1.0,0.5,stop
BTC/USDT,long,2024-07-26T04:00:00+00:00,2024-07-29T16:00:00+00:00,66924.00528,66889.91093350865,-0.0005094486850973403,-0.0012547243425486702,0.5,1.0,0.5,stop
ETH/USDT,short,2024-08-01T00:00:00+00:00,2024-08-08T20:00:00+00:00,3176.63089,2650.7650653067312,0.1655419980800063,0.08177099904000315,0.5,1.0,0.5,stop
