window,variant,trades,total_return,max_drawdown,profit_factor,win_rate,mean_mult,return_per_exposure,stop_freq,max_consec_losses
3mo,baseline_funding_only,15,0.08527032241046362,0.0440437199022657,2.3409908207439836,0.5333333333333333,1.0,0.08527032241046362,0.9333333333333333,4
3mo,hmm_sizing,15,0.01960510806221083,0.021013482785994617,1.6331522701385839,0.5333333333333333,0.5,0.03921021612442166,0.9333333333333333,4
3mo,vol_sizing,15,0.05178065965979184,0.01441856395463367,3.615095124233374,0.5333333333333333,0.5,0.10356131931958368,0.9333333333333333,4
3mo,hmm_plus_vol_sizing,15,0.03172156987585728,0.014418563954633732,2.611576200926655,0.5333333333333333,0.4166666666666667,0.07613176770205747,0.9333333333333333,4
6mo,baseline_funding_only,24,0.19535687857414907,0.044043719902265875,3.269819630543617,0.625,1.0,0.19535687857414907,0.9583333333333334,4
6mo,hmm_sizing,24,0.07214531167487559,0.021013482785994547,2.4576019162982994,0.625,0.59375,0.12150789334715889,0.9583333333333334,4
6mo,vol_sizing,24,0.10417969462134158,0.014418563954633389,5.096926450444841,0.625,0.46875,0.22225001519219537,0.9583333333333334,4
6mo,hmm_plus_vol_sizing,24,0.0831212739053997,0.014418563954633534,4.294110862913033,0.625,0.4166666666666667,0.19949105737295925,0.9583333333333334,4
12mo,baseline_funding_only,41,0.4965050741409167,0.0440437199022657,4.6698222922777175,0.6829268292682927,1.0,0.4965050741409167,0.9512195121951219,4
12mo,hmm_sizing,41,0.26817909799086403,0.021013482785994343,4.692655508007341,0.6829268292682927,0.6707317073170732,0.39983065518637906,0.9512195121951219,4
12mo,vol_sizing,41,0.2542001860632046,0.014418563954633687,7.420623378384144,0.6829268292682927,0.5304878048780488,0.4791819599352362,0.9512195121951219,4
12mo,hmm_plus_vol_sizing,41,0.21956162660865552,0.014418563954633656,6.623360145987583,0.6829268292682927,0.4817073170731707,0.45579881979518366,0.9512195121951219,4
24mo,baseline_funding_only,79,0.8479882371436065,0.04404371990226575,3.3099978635097127,0.5949367088607594,1.0,0.8479882371436065,0.9240506329113924,4
24mo,hmm_sizing,79,0.40020446214014416,0.024480636948020437,3.221505914826186,0.5949367088607594,0.629746835443038,0.6355005529461585,0.9240506329113924,4
24mo,vol_sizing,79,0.3644507904534642,0.018798823164936845,3.8758777985830926,0.5949367088607594,0.49050632911392406,0.7430093534406108,0.9240506329113924,4
24mo,hmm_plus_vol_sizing,79,0.28081306955342944,0.01441856395463343,3.6187077190287003,0.5949367088607594,0.4240506329113924,0.6622158953648037,0.9240506329113924,4
full_oos,baseline_funding_only,123,1.3971207841215842,0.04638286174964503,3.350818995578469,0.5853658536585366,1.0,1.3971207841215842,0.943089430894309,4
full_oos,hmm_sizing,123,0.7837674646273378,0.02448063694802042,3.8353788431034306,0.5853658536585366,0.6524390243902439,1.2012884504568542,0.943089430894309,4
full_oos,vol_sizing,123,0.7270926099455037,0.020994337262136138,4.629063454899905,0.5853658536585366,0.532520325203252,1.3653800156228544,0.943089430894309,4
full_oos,hmm_plus_vol_sizing,123,0.5969468876831103,0.015742948490822226,4.487491138402173,0.5853658536585366,0.4715447154471545,1.2659390893969409,0.943089430894309,4
