window_type,anchor_time,window_start,window_end,trades,total_return_pct,max_drawdown_pct,profit_factor,win_rate,trailing_consec_losses,max_consec_losses_in_window,stop_exit_freq,avg_trade_return
day_180,2022-11-28T20:00:00+00:00,2022-06-01T20:00:00+00:00,2022-11-28T20:00:00+00:00,22,-0.055364882099785184,0.10730652678730822,0.6768586236269407,0.22727272727272727,7,7,1.0,-0.0023663913321118365
day_180,2022-12-05T20:00:00+00:00,2022-06-08T20:00:00+00:00,2022-12-05T20:00:00+00:00,21,-0.044280659634663766,0.1252842053725102,0.72933660666013,0.23809523809523808,9,9,1.0,-0.0019270671943339552
day_180,2022-12-12T20:00:00+00:00,2022-06-15T20:00:00+00:00,2022-12-12T20:00:00+00:00,24,-0.06772523449298096,0.1467416971912458,0.6258682000490522,0.20833333333333334,12,12,1.0,-0.002716096140728555
day_180,2022-12-19T20:00:00+00:00,2022-06-22T20:00:00+00:00,2022-12-19T20:00:00+00:00,23,-0.14390863103806806,0.1467416971912454,0.11511810529010802,0.17391304347826086,12,12,1.0,-0.0067033088558971785
day_180,2022-12-26T20:00:00+00:00,2022-06-29T20:00:00+00:00,2022-12-26T20:00:00+00:00,23,-0.14390863103806806,0.1467416971912454,0.11511810529010802,0.17391304347826086,12,12,1.0,-0.0067033088558971785
day_180,2023-01-02T20:00:00+00:00,2022-07-06T20:00:00+00:00,2023-01-02T20:00:00+00:00,22,-0.1486669104745061,0.1513659980550526,0.10191198274201568,0.13636363636363635,13,13,1.0,-0.007260839774083754
day_180,2023-01-09T20:00:00+00:00,2022-07-13T20:00:00+00:00,2023-01-09T20:00:00+00:00,22,-0.1486669104745061,0.1513659980550526,0.10191198274201568,0.13636363636363635,13,13,1.0,-0.007260839774083754
day_180,2023-01-16T20:00:00+00:00,2022-07-20T20:00:00+00:00,2023-01-16T20:00:00+00:00,20,-0.1492046724853675,0.1492046724853675,0.08524795624712998,0.1,13,13,1.0,-0.008018931221878958
day_180,2023-01-23T20:00:00+00:00,2022-07-27T20:00:00+00:00,2023-01-23T20:00:00+00:00,20,-0.1492046724853675,0.1492046724853675,0.08524795624712998,0.1,13,13,1.0,-0.008018931221878958
day_180,2023-01-30T20:00:00+00:00,2022-08-03T20:00:00+00:00,2023-01-30T20:00:00+00:00,20,-0.15290713775835862,0.15290713775835862,0.08320298656054567,0.1,14,14,1.0,-0.008234388445507255
day_180,2023-02-06T20:00:00+00:00,2022-08-10T20:00:00+00:00,2023-02-06T20:00:00+00:00,20,-0.152112509070787,0.15935135626710314,0.08363468809020566,0.1,15,15,1.0,-0.008188027177417144
day_180,2023-02-13T20:00:00+00:00,2022-08-17T20:00:00+00:00,2023-02-13T20:00:00+00:00,19,-0.16703525193121904,0.16703525193121904,0.03372568516711902,0.05263157894736842,16,16,1.0,-0.00955291338898114
