asset,direction,setup,entry_time,exit_time,bars_held,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason
BTC/USDT,short,supertrend_short,2022-06-01T20:00:00+00:00,2022-06-06T00:00:00+00:00,25,29790.927085000003,30708.55829964886,-0.03080237187754025,-0.008200592969385063,stop
ETH/USDT,short,supertrend_short,2022-06-01T20:00:00+00:00,2022-06-06T00:00:00+00:00,25,1817.0410250000002,1879.461031504196,-0.03435255761723691,-0.009088139404309229,stop
BTC/USDT,short,supertrend_short,2022-06-07T04:00:00+00:00,2022-06-07T16:00:00+00:00,3,29570.32744,31230.876389630866,-0.056155920254864294,-0.014538980063716074,stop
ETH/USDT,short,supertrend_short,2022-06-07T04:00:00+00:00,2022-06-19T20:00:00+00:00,76,1762.1484850000002,1131.371249050541,0.3579591852325992,0.0889897963081498,stop
BTC/USDT,short,supertrend_short,2022-06-28T20:00:00+00:00,2022-07-01T00:00:00+00:00,13,20271.149355,20375.59135350668,-0.005152248482689842,-0.0017880621206724605,stop
ETH/USDT,short,supertrend_short,2022-06-29T00:00:00+00:00,2022-07-04T12:00:00+00:00,33,1144.317555,1133.1908777011304,0.009723417464193064,0.001930854366048266,stop
ETH/USDT,short,supertrend_short,2022-07-11T08:00:00+00:00,2022-07-14T00:00:00+00:00,16,1142.998215,1126.1709568264316,0.014722033641643484,0.003180508410410871,stop
BTC/USDT,short,supertrend_short,2022-07-11T08:00:00+00:00,2022-07-14T16:00:00+00:00,20,20462.823470000003,20629.8294943486,-0.00816143601069715,-0.0025403590026742877,stop
ETH/USDT,long,supertrend,2022-07-27T20:00:00+00:00,2022-08-02T00:00:00+00:00,31,1636.5578699999999,1575.711279953561,-0.037179614092374816,-0.009794903523093704,stop
BTC/USDT,long,supertrend,2022-08-08T08:00:00+00:00,2022-08-09T12:00:00+00:00,7,24178.203059999996,23108.949520009282,-0.04422386301154317,-0.011555965752885793,stop
ETH/USDT,long,supertrend,2022-08-10T16:00:00+00:00,2022-08-15T04:00:00+00:00,27,1819.1491199999998,1885.446378580521,0.03644410337318647,0.008611025843296618,stop
BTC/USDT,long,supertrend,2022-08-10T16:00:00+00:00,2022-08-17T12:00:00+00:00,41,23650.769475,23629.22685602579,-0.0009108633440861948,-0.0007277158360215487,stop
ETH/USDT,long,supertrend,2022-08-25T08:00:00+00:00,2022-08-26T12:00:00+00:00,7,1710.965055,1588.1051935858184,-0.071807347002877,-0.01845183675071925,stop
ETH/USDT,short,supertrend_short,2022-09-07T04:00:00+00:00,2022-09-07T20:00:00+00:00,4,1517.56084,1642.8814835837807,-0.08258030932307173,-0.021145077330767932,stop
BTC/USDT,short,supertrend_short,2022-09-13T16:00:00+00:00,2022-09-21T16:00:00+00:00,48,20273.438210000004,19719.15866180135,0.027340184849615302,0.006335046212403826,stop
BTC/USDT,short,supertrend_short,2022-09-27T20:00:00+00:00,2022-09-30T12:00:00+00:00,16,19069.590435000002,20129.438923875503,-0.055577936636241186,-0.014394484159060297,stop
ETH/USDT,short,supertrend_short,2022-09-28T04:00:00+00:00,2022-10-04T08:00:00+00:00,37,1284.8872350000001,1356.7839800381591,-0.055955684732255116,-0.01448892118306378,stop
BTC/USDT,short,supertrend_short,2022-10-09T04:00:00+00:00,2022-10-13T16:00:00+00:00,27,19398.25602,19411.808785734913,-0.0006986589784637815,-0.0006746647446159453,stop
ETH/USDT,short,supertrend_short,2022-10-10T20:00:00+00:00,2022-10-14T00:00:00+00:00,19,1289.3849850000001,1312.9488368036612,-0.018275264624444967,-0.005068816156111242,stop
BTC/USDT,short,supertrend_short,2022-10-20T04:00:00+00:00,2022-10-23T16:00:00+00:00,21,19136.36703,19520.40200733038,-0.020068332548614308,-0.0055170831371535774,stop
ETH/USDT,short,supertrend_short,2022-10-20T04:00:00+00:00,2022-10-23T16:00:00+00:00,21,1291.783785,1327.7950814799033,-0.027877185716418628,-0.007469296429104657,stop
ETH/USDT,long,supertrend,2022-11-04T20:00:00+00:00,2022-11-07T04:00:00+00:00,14,1645.6023899999998,1545.7936963888849,-0.060651767533659764,-0.01566294188341494,stop
ETH/USDT,short,supertrend_short,2022-11-28T16:00:00+00:00,2022-11-29T20:00:00+00:00,7,1171.004205,1227.085209310755,-0.0478913773932649,-0.012472844348316225,stop
BTC/USDT,short,supertrend_short,2022-11-28T16:00:00+00:00,2022-11-30T00:00:00+00:00,8,16216.637625000001,16687.741966475074,-0.029050679454587176,-0.0077626698636467945,stop
BTC/USDT,short,supertrend_short,2022-12-07T08:00:00+00:00,2022-12-08T16:00:00+00:00,8,16784.893355,17204.295018083947,-0.024986853012027785,-0.006746713253006947,stop
ETH/USDT,short,supertrend_short,2022-12-07T08:00:00+00:00,2022-12-08T16:00:00+00:00,8,1224.3575150000001,1284.537803463786,-0.049152545499576504,-0.012788136374894126,stop
BTC/USDT,short,supertrend_short,2022-12-12T04:00:00+00:00,2022-12-12T20:00:00+00:00,4,16915.47803,17232.34192214272,-0.01873218667428477,-0.005183046668571192,stop
ETH/USDT,short,supertrend_short,2022-12-28T08:00:00+00:00,2023-01-02T04:00:00+00:00,29,1195.70185,1219.2312493187774,-0.01967831639532669,-0.005419579098831673,stop
ETH/USDT,long,supertrend,2023-01-29T20:00:00+00:00,2023-01-30T16:00:00+00:00,5,1645.54236,1555.998211022676,-0.0544161919826384,-0.0141040479956596,stop
BTC/USDT,long,supertrend,2023-02-02T00:00:00+00:00,2023-02-05T16:00:00+00:00,22,23860.524299999997,22893.81607508063,-0.04051496156433438,-0.010628740391083595,stop
ETH/USDT,long,supertrend,2023-02-02T04:00:00+00:00,2023-02-09T16:00:00+00:00,45,1665.042105,1602.6929327747714,-0.03744600334009487,-0.009861500835023717,stop
BTC/USDT,long,supertrend,2023-02-15T12:00:00+00:00,2023-02-16T20:00:00+00:00,8,22820.864729999998,23580.355615620734,0.033280548068904695,0.007820137017226173,stop
ETH/USDT,long,supertrend,2023-02-14T20:00:00+00:00,2023-02-22T00:00:00+00:00,43,1556.4878549999999,1634.3171045428076,0.050003120353809445,0.01200078008845236,stop
ETH/USDT,long,supertrend,2023-03-01T12:00:00+00:00,2023-03-03T00:00:00+00:00,9,1658.2987349999999,1585.2855766249472,-0.04402895379103852,-0.011507238447759631,stop
BTC/USDT,long,supertrend,2023-03-29T12:00:00+00:00,2023-04-03T20:00:00+00:00,32,28457.011394999998,27478.17682871489,-0.03439695591003246,-0.009099238977508115,stop
BTC/USDT,long,supertrend,2023-04-18T12:00:00+00:00,2023-04-19T08:00:00+00:00,5,30199.952429999998,29276.76717842401,-0.03056909621681776,-0.00814227405420444,stop
BTC/USDT,long,supertrend,2023-04-26T12:00:00+00:00,2023-04-26T16:00:00+00:00,1,29834.940014999996,28026.423076129362,-0.060617414949095706,-0.015654353737273925,stop
ETH/USDT,long,supertrend,2023-04-26T12:00:00+00:00,2023-04-26T16:00:00+00:00,1,1954.886955,1836.6533944133905,-0.060481021822875396,-0.01562025545571885,stop
BTC/USDT,long,supertrend,2023-05-05T16:00:00+00:00,2023-05-06T12:00:00+00:00,5,29576.44083,28382.319008942803,-0.04037408787354746,-0.010593521968386865,stop
