timeframe,scope,trades,total_return,max_drawdown,profit_factor,win_rate,folds,folds_positive
1h,48mo_wf,561,2.6911265607493764,0.07194247427310076,2.2552374851998254,0.5329768270944741,93,65
1h,last_24mo,311,1.0927358579408293,0.061794348895971525,2.371342066695346,0.5530546623794212,,
1h,last_12mo,159,0.7818816954048591,0.03948382482791251,3.6073334490353552,0.5974842767295597,,
1h,last_6mo,80,0.3174452223209463,0.039483824827912566,3.0518881749221043,0.5875,,
1h,last_3mo,40,0.09033847107072446,0.03948382482791219,1.9903846337679847,0.45,,
2h,48mo_wf,260,1.1678177096632782,0.08250338753104414,2.0962262000889345,0.5269230769230769,44,27
2h,last_24mo,147,1.196386162994734,0.0560712301892776,3.1202375985936497,0.564625850340136,,
2h,last_12mo,76,0.5829268977796072,0.056071230189277406,3.4223919001191514,0.5394736842105263,,
2h,last_6mo,35,0.1851638600495713,0.05607123018927743,2.51167593734772,0.5428571428571428,,
2h,last_3mo,16,0.18914826178127253,0.017325046257375017,7.087603559842534,0.625,,
4h,48mo_wf,123,1.3971207841215842,0.04638286174964503,3.350818995578469,0.5853658536585366,20,16
4h,last_24mo,79,0.8479882371436065,0.04404371990226575,3.3099978635097127,0.5949367088607594,,
4h,last_12mo,41,0.4965050741409167,0.0440437199022657,4.6698222922777175,0.6829268292682927,,
4h,last_6mo,24,0.19535687857414907,0.044043719902265875,3.269819630543617,0.625,,
4h,last_3mo,13,0.08558531545686221,0.04404371990226575,2.3561898016887515,0.5384615384615384,,
1d,48mo_wf,26,0.26302301997993127,0.15126907745869814,2.190075554172601,0.6153846153846154,20,8
1d,last_24mo,18,-0.03174314156551028,0.15126907745869833,0.878269028602737,0.4444444444444444,,
1d,last_12mo,8,0.13460798996287293,0.027104568363147646,5.234565493437223,0.75,,
1d,last_6mo,5,0.11370320629730513,0.027104568363147608,5.1254911285144535,0.8,,
1d,last_3mo,3,0.09442138998752792,0.027104568363147653,4.476178284662156,0.6666666666666666,,
