_tf,asset,direction,entry_ts,exit_ts,entry_price,exit_price,gross_return_pct,net_return_pct,exit_reason,bars
1h,BTCUSDT,short,2022-07-01T10:00:00+00:00,2022-07-03T19:00:00+00:00,19061.02472,18924.85718547613,0.007143767794445877,0.0012859419486114692,stop,57
1h,BTCUSDT,short,2022-07-05T10:00:00+00:00,2022-07-05T18:00:00+00:00,19731.06953,19157.27481217328,0.02908077116419347,0.006770192791048367,stop,8
1h,ETHUSDT,long,2022-07-05T19:00:00+00:00,2022-07-08T09:00:00+00:00,1147.103265,1207.8432366393831,0.05295074427269036,0.012737686068172589,stop,62
1h,BTCUSDT,long,2022-07-18T05:00:00+00:00,2022-07-18T19:00:00+00:00,21872.941004999997,21483.909123824327,-0.0177859886828543,-0.004946497170713575,stop,14
1h,BTCUSDT,long,2022-07-19T14:00:00+00:00,2022-07-20T20:00:00+00:00,22637.73321,23118.745065422194,0.021248234130160748,0.0048120585325401866,stop,30
1h,ETHUSDT,long,2022-07-16T15:00:00+00:00,2022-07-20T20:00:00+00:00,1274.9671649999998,1511.096557103922,0.1852042927740199,0.045801073193504974,stop,101
1h,BTCUSDT,long,2022-07-22T11:00:00+00:00,2022-07-22T17:00:00+00:00,23622.385290000002,22914.04453900248,-0.029985996007667447,-0.007996499001916861,stop,6
1h,ETHUSDT,long,2022-07-21T19:00:00+00:00,2022-07-22T17:00:00+00:00,1579.6394249999998,1560.6726160440958,-0.01200704961887367,-0.0035017624047184175,stop,22
1h,BTCUSDT,long,2022-07-24T15:00:00+00:00,2022-07-25T01:00:00+00:00,22858.50354,22167.044339083637,-0.03024953928879827,-0.008062384822199568,stop,10
1h,ETHUSDT,long,2022-07-24T05:00:00+00:00,2022-07-25T01:00:00+00:00,1602.130665,1639.592301842416,0.0233823855074992,0.0053455963768748,stop,20
1h,BTCUSDT,long,2022-08-02T16:00:00+00:00,2022-08-03T22:00:00+00:00,23390.399354999998,22888.74136128562,-0.021447175232052643,-0.00586179380801316,stop,30
1h,ETHUSDT,long,2022-08-02T16:00:00+00:00,2022-08-04T14:00:00+00:00,1669.464315,1602.0134564579187,-0.04040269560483614,-0.010600673901209036,stop,46
1h,BTCUSDT,long,2022-08-07T17:00:00+00:00,2022-08-09T02:00:00+00:00,23252.0202,23645.788604194793,0.016934803978657913,0.0037337009946644783,stop,33
1h,ETHUSDT,long,2022-08-07T20:00:00+00:00,2022-08-09T09:00:00+00:00,1722.9010199999998,1808.4988250084098,0.04968236945405604,0.01192059236351401,stop,37
1h,BTCUSDT,long,2022-08-10T12:00:00+00:00,2022-08-11T22:00:00+00:00,23997.17259,24790.497873363052,0.033059114793117135,0.007764778698279283,stop,34
1h,BTCUSDT,long,2022-08-12T23:00:00+00:00,2022-08-14T05:00:00+00:00,24415.88184,24576.345680000002,0.006572109131734068,0.001143027282933517,end,30
1h,ETHUSDT,long,2022-08-10T12:00:00+00:00,2022-08-14T05:00:00+00:00,1823.9115,1991.613695,0.0919464540905631,0.022486613522640773,end,89
1h,BTCUSDT,long,2022-08-15T02:00:00+00:00,2022-08-15T06:00:00+00:00,24930.17886,25238.53200906449,0.012368669747461616,0.002592167436865404,stop,4
1h,ETHUSDT,long,2022-08-15T02:00:00+00:00,2022-08-15T06:00:00+00:00,2001.150075,2019.157682326776,0.008998629114198742,0.0017496572785496854,stop,4
1h,BTCUSDT,long,2022-08-17T06:00:00+00:00,2022-08-17T07:00:00+00:00,24416.06193,24724.310104315857,0.0126248112901906,0.00265620282254765,stop,1
1h,ETHUSDT,long,2022-08-17T06:00:00+00:00,2022-08-17T08:00:00+00:00,1952.7458849999998,1879.9112979903186,-0.037298548453825665,-0.009824637113456417,stop,2
1h,BTCUSDT,short,2022-08-26T11:00:00+00:00,2022-08-26T12:00:00+00:00,21179.175115000002,21653.04319214013,-0.022374246143539042,-0.006093561535884761,stop,1
1h,ETHUSDT,short,2022-08-26T05:00:00+00:00,2022-08-26T13:00:00+00:00,1660.3594050000002,1625.0662945875993,0.021256307704295437,0.004814076926073859,stop,8
1h,BTCUSDT,short,2022-08-26T14:00:00+00:00,2022-08-29T05:00:00+00:00,21149.350035000003,19763.71692,0.06551658148864734,0.015879145372161833,end,63
1h,ETHUSDT,short,2022-08-26T15:00:00+00:00,2022-08-29T05:00:00+00:00,1592.7332350000001,1441.2702749999999,0.09509625131919865,0.02327406282979966,end,62
1h,ETHUSDT,short,2022-08-30T14:00:00+00:00,2022-08-30T19:00:00+00:00,1523.17803,1564.6263942845135,-0.027211766102294324,-0.0073029415255735815,stop,5
1h,BTCUSDT,short,2022-08-30T14:00:00+00:00,2022-08-31T01:00:00+00:00,19822.113985,20248.549545368733,-0.0215131221973312,-0.005878280549332799,stop,11
1h,BTCUSDT,short,2022-09-01T14:00:00+00:00,2022-09-02T04:00:00+00:00,19683.25345,20266.588241939364,-0.029636096157638188,-0.007909024039409547,stop,14
1h,ETHUSDT,short,2022-09-01T14:00:00+00:00,2022-09-02T04:00:00+00:00,1517.6707850000003,1607.6517652151372,-0.05928886627091323,-0.015322216567728308,stop,14
1h,ETHUSDT,long,2022-09-02T12:00:00+00:00,2022-09-02T18:00:00+00:00,1624.962075,1570.7771092436071,-0.033345372541320875,-0.00883634313533022,stop,6
1h,BTCUSDT,short,2022-09-02T17:00:00+00:00,2022-09-04T12:00:00+00:00,19792.368865,19934.03875498603,-0.007157803644037492,-0.002289450911009373,stop,43
1h,BTCUSDT,short,2022-09-06T17:00:00+00:00,2022-09-07T18:00:00+00:00,19092.76884,19149.401507203518,-0.002966184091899239,-0.0012415460229748096,stop,25
1h,BTCUSDT,short,2022-09-18T16:00:00+00:00,2022-09-19T13:00:00+00:00,19736.66673,18268.140482948987,0.07440599099841076,0.01810149774960269,stop,21
1h,ETHUSDT,short,2022-09-18T09:00:00+00:00,2022-09-19T14:00:00+00:00,1423.46791,1357.1762923343701,0.04657050376754185,0.011142625941885462,stop,29
1h,BTCUSDT,short,2022-09-20T17:00:00+00:00,2022-09-21T14:00:00+00:00,18757.446585,19416.12720923658,-0.03511568705536464,-0.009278921763841161,stop,21
1h,BTCUSDT,short,2022-09-21T21:00:00+00:00,2022-09-22T19:00:00+00:00,18457.636565,19437.419076788632,-0.053082771910599236,-0.01377069297764981,stop,22
1h,ETHUSDT,short,2022-09-21T21:00:00+00:00,2022-09-22T19:00:00+00:00,1252.483445,1329.144983182211,-0.06120762592771113,-0.015801906481927783,stop,22
1h,ETHUSDT,short,2022-09-23T13:00:00+00:00,2022-09-24T13:00:00+00:00,1270.234565,1346.085617465837,-0.05971420913572528,-0.015428552283931321,stop,24
1h,BTCUSDT,short,2022-09-25T21:00:00+00:00,2022-09-26T08:00:00+00:00,18733.72845,18584.60927970923,0.007959930170268227,0.0014899825425670568,stop,11
1h,ETHUSDT,short,2022-09-27T16:00:00+00:00,2022-09-28T05:00:00+00:00,1331.1640850000001,1287.10323,0.033099492013413334,0.007774873003353333,end,13
1h,ETHUSDT,short,2022-10-02T09:00:00+00:00,2022-10-03T13:00:00+00:00,1306.3465,1311.7634429751001,-0.004146635655318116,-0.001536658913829529,stop,28
1h,BTCUSDT,short,2022-10-02T10:00:00+00:00,2022-10-03T14:00:00+00:00,19091.499475,19000.53737120706,0.00476453428459365,0.0006911335711484124,stop,28
