variant,window_months,trades,total_return,max_drawdown,profit_factor,win_rate,return_per_exposure,stop_freq,mean_overlay_multiplier
baseline_funding_vol,48,123,0.7333737681114638,0.02023694610998416,4.529913012702051,0.5853658536585366,1.3314387229182296,0.943089430894309,0.5508130081300813
baseline_funding_vol,3,10,0.035748305354163845,0.015249756932939,2.865704752469204,0.5,0.08937076338540961,0.9,0.4
baseline_funding_vol,6,23,0.12303594345838031,0.01524975693293891,5.842821763692872,0.6521739130434783,0.22194719212099978,0.9565217391304348,0.5543478260869565
baseline_funding_vol,12,37,0.2205094980368787,0.015249756932938842,6.15429804874597,0.6486486486486487,0.3794814617378843,0.9459459459459459,0.581081081081081
baseline_funding_vol,24,74,0.3727650597385006,0.015249756932938957,4.126540192274536,0.6216216216216216,0.7307182627986503,0.918918918918919,0.5101351351351351
baseline_funding_vol_plus_volume_conf,48,104,0.7467208760340585,0.013415372651408426,5.789775344074814,0.625,1.356488578297678,0.9423076923076923,0.5504807692307693
baseline_funding_vol_plus_volume_conf,3,5,0.034270161720415304,0.007374142448404444,5.635391566054691,0.6,0.08567540430103826,0.8,0.4
baseline_funding_vol_plus_volume_conf,6,15,0.12308575170607616,0.007374142448404402,11.886938817708986,0.8,0.22379227582922936,0.9333333333333333,0.55
baseline_funding_vol_plus_volume_conf,12,29,0.2205636293759039,0.009635599833257054,8.849762979771743,0.7241379310344828,0.3762556030530126,0.9310344827586207,0.5862068965517241
baseline_funding_vol_plus_volume_conf,24,61,0.4005551127247977,0.009769601502830955,5.965496184661296,0.6885245901639344,0.7945971341857777,0.9180327868852459,0.5040983606557377
